JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3561142 -0.02044 0.04987 1.60019 0.03610 1.62063 0.03628 0.0039886 2.0098
2461182.3562475 99.99999 9.99999 99.99999 9.99999 1.57283 0.03149 0.0039886 2.0104
2461182.3564468 -0.04307 0.04456 1.48426 0.03170 1.52733 0.03333 0.0039886 2.0112
2461182.3565797 -0.32003 0.04820 1.16000 0.02982 1.48003 0.04042 0.0039886 2.0117
2461182.3567130 -0.26865 0.06516 1.27566 0.04249 1.54431 0.05215 0.0039886 2.0123
2461182.3568470 -0.18359 0.10216 1.50345 0.06792 1.68704 0.07978 0.0039885 2.0128
2461182.3569812 -0.29365 0.11600 99.99999 9.99999 99.99999 9.99999 0.0039885 2.0134
2461182.3571809 99.99999 9.99999 99.99999 9.99999 1.32874 0.13214 0.0039885 2.0142
2461182.3573134 -0.07641 0.13271 1.49692 0.09236 1.57333 0.10032 0.0039885 2.0148
2461182.3574475 -0.21376 0.09564 99.99999 9.99999 99.99999 9.99999 0.0039885 2.0154
2461182.3579180 99.99999 9.99999 99.99999 9.99999 1.33114 0.15407 0.0039885 2.0174
2461182.3581841 -0.36749 0.07652 1.02006 0.05025 1.38755 0.06280 0.0039885 2.0185
2461182.3586441 99.99999 9.99999 99.99999 9.99999 1.59609 0.03753 0.0039884 2.0205
2461182.3587762 -0.41244 0.03735 1.19162 0.02201 1.60406 0.03169 0.0039884 2.0211
2461182.3589110 -0.43630 0.04618 99.99999 9.99999 99.99999 9.99999 0.0039884 2.0217
2461182.3590455 99.99999 9.99999 99.99999 9.99999 1.60331 0.03229 0.0039884 2.0223
2461182.3591792 -0.39047 0.03409 1.26234 0.02018 1.65281 0.02891 0.0039884 2.0228
2461182.3595064 -0.59444 0.03942 0.94160 0.02152 1.53604 0.03506 0.0039884 2.0243
2461182.3596385 -0.31368 0.03909 1.22766 0.02413 1.54135 0.03262 0.0039884 2.0249
2461182.3597722 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039883 2.0255
2461182.3599058 99.99999 9.99999 1.21564 0.02333 99.99999 9.99999 0.0039883 2.0261
2461182.3601039 -0.49811 0.03604 1.03731 0.02085 1.53542 0.03120 0.0039883 2.0270
2461182.3603684 -0.38947 0.03776 1.17217 0.02289 1.56164 0.03174 0.0039883 2.0282
2461182.3605011 -0.27707 0.04053 99.99999 9.99999 99.99999 9.99999 0.0039883 2.0288
2461182.3606346 99.99999 9.99999 99.99999 9.99999 1.71419 0.03617 0.0039883 2.0294
2461182.3609669 99.99999 9.99999 1.08618 0.02550 99.99999 9.99999 0.0039883 2.0310
2461182.3610990 -0.35730 0.04362 99.99999 9.99999 99.99999 9.99999 0.0039882 2.0316
2461182.3613644 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039882 2.0328
2461182.3615626 -0.30894 0.03934 1.30520 0.02489 1.61414 0.03215 0.0039882 2.0338
2461182.3616954 -0.46820 0.04022 1.12698 0.02339 1.59517 0.03453 0.0039882 2.0344
2461182.3618296 -0.23530 0.04202 1.36207 0.02784 1.59737 0.03314 0.0039882 2.0350
