JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.4197686 -2.14036 0.01781 -0.0003276 1.0921
2461218.4199302 -1.77786 0.01943 -0.0003276 1.0924
2461218.4200091 -2.19388 0.02030 -0.0003276 1.0925
2461218.4200873 -1.86093 0.01790 -0.0003276 1.0926
2461218.4204004 99.99999 9.99999 -0.0003276 1.0930
2461218.4204773 -2.22248 0.01786 -0.0003276 1.0931
2461218.4206328 99.99999 9.99999 -0.0003276 1.0934
2461218.4207097 99.99999 9.99999 -0.0003276 1.0935
2461218.4208791 99.99999 9.99999 -0.0003276 1.0937
2461218.4209566 99.99999 9.99999 -0.0003276 1.0938
2461218.4211113 99.99999 9.99999 -0.0003276 1.0940
2461218.4213503 99.99999 9.99999 -0.0003276 1.0944
2461218.4214293 99.99999 9.99999 -0.0003276 1.0945
2461218.4215859 99.99999 9.99999 -0.0003276 1.0947
